sl.no,date,price
001,05/10/2022,5097.98
002,06/10/2022,5321.01
003,07/10/2022,5328.90
004,08/10/2022,5319.94
005,09/10/2022,5319.94
006,10/10/2022,5242.69
007,11/10/2022,5200.00
008,12/10/2022,5237.17
009,13/10/2022,5239.26
010,14/10/2022,5164.99
011,15/10/2022,5179.82
012,16/10/2022,5179.82
013,17/10/2022,5204.17
014,18/10/2022,5184.83
015,19/10/2022,5161.56
016,20/10/2022,5157.22
017,21/10/2022,5216.96
018,22/10/2022,5236.76
019,23/10/2022,5236.76
020,24/10/2022,5209.04
021,25/10/2022,5222.54
022,26/10/2022,5252.56
023,27/10/2022,5230.22
024,28/10/2022,5176.76
025,29/10/2022,5196.78
026,30/10/2022,5196.78
027,31/10/2022,5183.09
028,01/11/2022,5204.16
029,02/11/2022,5208.69
030,03/11/2022,5167.96
031,04/11/2022,5268.71
032,05/11/2022,5299.61
033,06/11/2022,5299.61
034,07/11/2022,5249.15
035,08/11/2022,5346.64
036,09/11/2022,5316.45
037,10/11/2022,5438.20
038,11/11/2022,5420.93
039,12/11/2022,5480.42
040,13/11/2022,5480.42
041,14/11/2022,5499.30
042,15/11/2022,5485.52
043,16/11/2022,5522.03
044,17/11/2022,5496.80
045,18/11/2022,5469.58
046,19/11/2022,5478.79
047,20/11/2022,5478.79
048,21/11/2022,5447.05
049,22/11/2022,5437.95
050,23/11/2022,5454.79
051,24/11/2022,5477.32
052,25/11/2022,5476.14
053,26/11/2022,5486.93
054,27/11/2022,5486.93
055,28/11/2022,5448.62
056,29/11/2022,5467.74
057,30/11/2022,5461.04
058,01/12/2022,5571.30
059,02/12/2022,5557.19
060,03/12/2022,5569.99
061,04/12/2022,5569.99
062,05/12/2022,5516.15
063,06/12/2022,5580.00
064,07/12/2022,5585.00
065,08/12/2022,5600.00
066,09/12/2022,5625.52
067,10/12/2022,5624.19
068,11/12/2022,5624.19
069,12/12/2022,5591.34
070,13/12/2022,5673.19
071,14/12/2022,5660.43
072,15/12/2022,5595.63
073,16/12/2022,5668.47
074,17/12/2022,5683.90
075,18/12/2022,5683.90
076,19/12/2022,5653.09
077,20/12/2022,5742.12
078,21/12/2022,5740.30
079,22/12/2022,5674.65
080,23/12/2022,5696.14
081,24/12/2022,5702.42
082,25/12/2022,5702.42
083,26/12/2022,5690.05
084,27/12/2022,5748.46
085,28/12/2022,5708.53
086,29/12/2022,5740.29
087,30/12/2022,5741.45
088,31/12/2022,5765.37
089,01/01/2023,5765.37
090,02/01/2023,5766.57
091,03/01/2023,5798.79
092,04/01/2023,5847.02
093,05/01/2023,5750.51
094,06/01/2023,5859.15
095,07/01/2023,5881.91
096,08/01/2023,5881.91
097,09/01/2023,5860.45
098,10/01/2023,5835.57
099,11/01/2023,5826.44
100,12/01/2023,5880.38
101,13/01/2023,5919.74
102,14/01/2023,5972.44
103,15/01/2023,5972.44
104,16/01/2023,5958.71
105,17/01/2023,5952.64
106,18/01/2023,5907.60
107,19/01/2023,5904.54
108,20/01/2023,5892.30
109,21/01/2023,5882.51
110,22/01/2023,5882.51
111,23/01/2023,5899.43
112,24/01/2023,5951.46
113,25/01/2023,5955.32
114,26/01/2023,5925.80
115,27/01/2023,5917.86
116,28/01/2023,5933.63
117,29/01/2023,5933.63
